City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,kushima,JP,2022-05-25 17:41:29,31.4583,131.2333,292.24,92,77,1.8
70,katsuura,JP,2022-05-25 17:41:30,35.1333,140.3,291.36,84,6,3.04
71,pemangkat,ID,2022-05-25 17:41:30,1.1667,108.9667,300.35,79,100,1.96
72,punta arenas,CL,2022-05-25 17:41:26,-53.15,-70.9167,280.21,65,40,13.38
73,ha tinh,VN,2022-05-25 17:41:32,18.3333,105.9,298.39,87,68,1.72
74,ngunguru,NZ,2022-05-25 17:41:32,-35.6167,174.5,285.31,79,100,2.79
75,sambava,MG,2022-05-25 17:41:33,-14.2667,50.1667,296.25,86,16,3.6
76,san patricio,US,2022-05-25 17:41:34,28.017,-97.5169,300.08,56,63,1.61
77,norman wells,CA,2022-05-25 17:41:34,65.282,-126.8329,286.17,54,75,4.63
78,yellowknife,CA,2022-05-25 17:40:30,62.456,-114.3525,285.44,30,20,4.63
79,san quintin,MX,2022-05-25 17:36:54,30.4833,-115.95,293.63,57,0,3.45
80,solnechnyy,RU,2022-05-25 17:41:36,50.7214,136.6319,280.69,71,24,2.11
81,labuhan,ID,2022-05-25 17:41:37,-6.8844,112.2051,299.77,84,100,0.59
82,acari,PE,2022-05-25 17:41:38,-15.4311,-74.6158,298.52,47,21,4.23
83,guzelyurt,TR,2022-05-25 17:41:38,38.2772,34.3719,287.01,56,63,0.98
84,atuona,PF,2022-05-25 17:41:39,-9.8,-139.0333,298.88,77,50,8.3
85,castro,BR,2022-05-25 17:41:31,-24.7911,-50.0119,294.51,45,0,3.54
86,nanlong,CN,2022-05-25 17:41:40,31.3533,106.0631,293.45,88,95,1.53
87,kaitangata,NZ,2022-05-25 17:41:41,-46.2817,169.8464,276.76,87,78,3.37
88,carnarvon,AU,2022-05-25 17:41:42,-24.8667,113.6333,295.25,64,98,5.14
89,longyearbyen,SJ,2022-05-25 17:41:43,78.2186,15.6401,276.06,87,75,2.57
90,hamilton,US,2022-05-25 17:38:04,39.1834,-84.5333,300.34,70,75,6.69
91,geraldton,AU,2022-05-25 17:41:44,-28.7667,114.6,289.38,77,40,5.14
92,lagunas,PE,2022-05-25 17:42:45,-5.2269,-75.6753,302.1,73,75,0.32
93,vaini,TO,2022-05-25 17:42:34,-21.2,-175.2,296.24,94,20,2.57
94,hilo,US,2022-05-25 17:40:52,19.7297,-155.09,301.64,80,75,2.06
95,harper,LR,2022-05-25 17:42:48,4.375,-7.7169,299.6,81,77,3.62
96,kyshtovka,RU,2022-05-25 17:42:48,56.555,76.6271,291.82,56,2,3.22
97,banda aceh,ID,2022-05-25 17:42:49,5.5577,95.3222,300.27,75,95,2.64
98,kavieng,PG,2022-05-25 17:42:50,-2.5744,150.7967,300.09,77,100,3.2
99,zhaotong,CN,2022-05-25 17:42:51,27.3167,103.7167,289.1,97,100,2.52
100,dadri,IN,2022-05-25 17:42:51,28.5667,77.55,305.07,31,0,1.72
101,khatanga,RU,2022-05-25 17:42:28,71.9667,102.5,270.69,93,99,2.03
102,kevsala,RU,2022-05-25 17:42:53,45.7983,42.6903,285.43,74,32,3.38
103,fukue,JP,2022-05-25 17:42:53,32.6881,128.8419,293.67,90,97,3.87
104,bethel,US,2022-05-25 17:42:54,41.3712,-73.414,297.23,54,0,3.09
105,chato,TZ,2022-05-25 17:42:55,-2.6378,31.7669,293.86,77,99,1.24
106,aklavik,CA,2022-05-25 17:42:56,68.2191,-135.0107,278.29,66,100,2.0
107,muli,MV,2022-05-25 17:42:56,2.9167,73.5667,301.45,71,28,3.05
108,ketchikan,US,2022-05-25 17:42:57,55.3422,-131.6461,284.41,71,0,4.63
109,necochea,AR,2022-05-25 17:42:57,-38.5473,-58.7368,285.1,54,100,7.38
110,magdagachi,RU,2022-05-25 17:42:58,53.45,125.8,284.48,71,43,2.73
111,ypsonas,CY,2022-05-25 17:42:59,34.6884,32.9574,295.62,88,0,4.63
112,gamba,GA,2022-05-25 17:42:59,-2.65,10.0,297.02,85,31,2.97
113,srednekolymsk,RU,2022-05-25 17:43:00,67.45,153.6833,277.81,78,24,7.28
114,lulea,SE,2022-05-25 17:43:01,65.5842,22.1547,286.19,58,0,3.6
115,boromo,BF,2022-05-25 17:43:01,11.75,-2.9333,305.34,43,100,1.05
116,pacific grove,US,2022-05-25 17:43:02,36.6177,-121.9166,296.6,76,0,4.47
117,ariquemes,BR,2022-05-25 17:43:02,-9.9133,-63.0408,306.29,41,23,1.15
118,lompoc,US,2022-05-25 17:43:03,34.6391,-120.4579,299.09,79,0,0.0
119,vao,NC,2022-05-25 17:43:04,-22.6667,167.4833,296.84,76,0,4.84
120,luderitz,NA,2022-05-25 17:43:04,-26.6481,15.1594,287.77,83,2,3.73
121,inuvik,CA,2022-05-25 17:43:05,68.3499,-133.7218,277.63,72,75,1.54
122,qaanaaq,GL,2022-05-25 17:42:30,77.484,-69.3632,267.6,79,99,2.04
123,sechura,PE,2022-05-25 17:43:06,-5.5569,-80.8222,297.49,59,41,5.05
124,shache,CN,2022-05-25 17:43:07,38.4167,77.2406,298.0,22,57,2.66
125,antofagasta,CL,2022-05-25 17:41:25,-23.65,-70.4,293.27,56,50,2.89
126,busselton,AU,2022-05-25 17:43:08,-33.65,115.3333,285.68,83,32,1.94
127,loudon,US,2022-05-25 17:43:09,35.7328,-84.3338,303.27,68,84,6.63
128,opuwo,NA,2022-05-25 17:43:09,-18.0607,13.84,291.72,24,0,4.01
129,troitskoye,RU,2022-05-25 17:43:10,52.9821,84.6757,289.78,68,1,4.07
130,husavik,IS,2022-05-25 17:43:10,66.0449,-17.3389,278.54,93,100,3.98
131,santa rosa,PH,2022-05-25 17:43:11,14.3122,121.1114,301.54,86,91,0.61
132,puerto escondido,MX,2022-05-25 17:43:12,15.85,-97.0667,303.9,65,100,3.68
133,nanortalik,GL,2022-05-25 17:43:13,60.1432,-45.2371,274.59,73,9,10.4
134,ler,SS,2022-05-25 17:43:14,8.3018,30.1418,300.56,58,81,1.92
135,tasiilaq,GL,2022-05-25 17:43:14,65.6145,-37.6368,276.24,87,100,2.16
136,komarov,CZ,2022-05-25 17:43:15,49.8065,13.8564,291.43,63,36,4.01
137,xining,CN,2022-05-25 17:43:16,36.6167,101.7667,285.14,80,100,1.11
